field_mV_nm,scale,nu,T_K,method
-99,TN,0.97,2.0,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,0.975,2.3,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,0.98,2.5,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,0.985,3.2,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,0.99,3.2,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,0.995,3.2,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,1.0,2.8,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,1.005,2.7,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,1.01,2.4,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,1.015,2.0,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,1.02,1.6,local minimum / insulating onset in smoothed log(Rxx)
-99,TN,1.025,1.2,local minimum / insulating onset in smoothed log(Rxx)
-99,Tc,0.919,0.16,Rxx <= 20 ohm threshold
-99,Tc,0.92,0.16,Rxx <= 20 ohm threshold
-99,Tc,0.921,0.16,Rxx <= 20 ohm threshold
-99,Tc,0.922,0.18,Rxx <= 20 ohm threshold
-99,Tc,0.923,0.18,Rxx <= 20 ohm threshold
-99,Tc,0.924,0.18,Rxx <= 20 ohm threshold
-99,Tc,0.925,0.2,Rxx <= 20 ohm threshold
-99,Tc,0.926,0.2,Rxx <= 20 ohm threshold
-99,Tc,0.927,0.2,Rxx <= 20 ohm threshold
-99,Tc,0.928,0.2,Rxx <= 20 ohm threshold
-99,Tc,0.929,0.2,Rxx <= 20 ohm threshold
-99,Tc,0.93,0.24,Rxx <= 20 ohm threshold
-99,Tc,0.931,0.24,Rxx <= 20 ohm threshold
-99,Tc,0.932,0.24,Rxx <= 20 ohm threshold
-99,Tc,0.933,0.24,Rxx <= 20 ohm threshold
-99,Tc,0.934,0.24,Rxx <= 20 ohm threshold
-99,Tc,0.935,0.24,Rxx <= 20 ohm threshold
-99,Tc,0.936,0.26,Rxx <= 20 ohm threshold
-99,Tc,0.937,0.26,Rxx <= 20 ohm threshold
-99,Tc,0.938,0.26,Rxx <= 20 ohm threshold
-99,Tc,0.939,0.28,Rxx <= 20 ohm threshold
-99,Tc,0.94,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.941,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.942,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.943,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.944,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.945,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.946,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.947,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.948,0.32,Rxx <= 20 ohm threshold
-99,Tc,0.949,0.32,Rxx <= 20 ohm threshold
-99,Tc,0.95,0.32,Rxx <= 20 ohm threshold
-99,Tc,0.951,0.32,Rxx <= 20 ohm threshold
-99,Tc,0.952,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.953,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.954,0.3,Rxx <= 20 ohm threshold
-99,Tc,0.955,0.28,Rxx <= 20 ohm threshold
-99,Tc,0.956,0.26,Rxx <= 20 ohm threshold
-99,Tc,0.957,0.28,Rxx <= 20 ohm threshold
-99,Tc,0.958,0.24,Rxx <= 20 ohm threshold
-99,Tc,0.959,0.22,Rxx <= 20 ohm threshold
-99,Tc,0.96,0.2,Rxx <= 20 ohm threshold
-99,Tc,0.961,0.2,Rxx <= 20 ohm threshold
-99,Tc,0.962,0.18,Rxx <= 20 ohm threshold
-99,Tc,0.963,0.18,Rxx <= 20 ohm threshold
-99,Tc,0.964,0.18,Rxx <= 20 ohm threshold
-99,Tc,0.965,0.18,Rxx <= 20 ohm threshold
-99,Tc,1.028,0.22,Rxx <= 20 ohm threshold
-99,Tc,1.029,0.22,Rxx <= 20 ohm threshold
-99,Tc,1.03,0.26,Rxx <= 20 ohm threshold
-99,Tc,1.031,0.26,Rxx <= 20 ohm threshold
-99,Tc,1.032,0.26,Rxx <= 20 ohm threshold
-99,Tc,1.033,0.24,Rxx <= 20 ohm threshold
-99,Tc,1.034,0.26,Rxx <= 20 ohm threshold
-99,Tc,1.035,0.26,Rxx <= 20 ohm threshold
-99,Tc,1.036,0.22,Rxx <= 20 ohm threshold
-99,Tc,1.037,0.24,Rxx <= 20 ohm threshold
-99,Tc,1.038,0.22,Rxx <= 20 ohm threshold
-99,Tc,1.039,0.24,Rxx <= 20 ohm threshold
-99,Tc,1.04,0.22,Rxx <= 20 ohm threshold
-99,Tc,1.041,0.2,Rxx <= 20 ohm threshold
-99,Tc,1.042,0.2,Rxx <= 20 ohm threshold
-99,Tc,1.043,0.2,Rxx <= 20 ohm threshold
-99,Tc,1.044,0.18,Rxx <= 20 ohm threshold
-99,Tc,1.045,0.2,Rxx <= 20 ohm threshold
-99,Tc,1.046,0.16,Rxx <= 20 ohm threshold
-99,Tc,1.047,0.16,Rxx <= 20 ohm threshold
-99,Tc,1.048,0.14,Rxx <= 20 ohm threshold
-99,Tc,1.049,0.14,Rxx <= 20 ohm threshold
-99,Tc,1.05,0.14,Rxx <= 20 ohm threshold
-99,Tc,1.051,0.12,Rxx <= 20 ohm threshold
-99,Tcoh,0.83,1.4,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,0.838,1.2,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,0.846,0.98,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,0.854,0.67,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,0.862,0.36,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,0.87,0.11,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,0.878,0.0,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,1.055,0.0,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,1.0619999999999998,0.55,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,1.0699999999999998,1.2,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,1.0779999999999998,2.05,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,1.0859999999999999,2.95,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,1.0959999999999999,3.7,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,1.1099999999999999,4.0,"quadratic low-T fit, continuity enforced / regularized"
-99,Tcoh,1.13,4.0,"quadratic low-T fit, continuity enforced / regularized"
-99,Tprime,0.882,0.0,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.891,0.89,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.899,1.19,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.908,1.39,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.917,1.49,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.926,1.49,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.934,1.39,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.943,1.19,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.952,0.89,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.96,0.5,"high-T linear fit deviation, continuity enforced / regularized"
-99,Tprime,0.969,0.0,"high-T linear fit deviation, continuity enforced / regularized"
