field_mV_nm,scale,nu,T_K,method
-103,TN,0.96,1.6,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,0.965,2.1,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,0.97,2.4,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,0.975,2.7,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,0.98,2.8,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,0.985,3.5,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,0.99,3.8,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,0.995,3.8,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,1.0,3.6,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,1.005,3.5,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,1.01,3.4,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,1.015,3.0,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,1.02,2.5,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,1.025,2.2,local minimum / insulating onset in smoothed log(Rxx)
-103,TN,1.03,1.6,local minimum / insulating onset in smoothed log(Rxx)
-103,Tc,0.922,0.12,Rxx <= 20 ohm threshold
-103,Tc,0.924,0.12,Rxx <= 20 ohm threshold
-103,Tc,0.927,0.12,Rxx <= 20 ohm threshold
-103,Tc,0.928,0.14,Rxx <= 20 ohm threshold
-103,Tc,0.929,0.16,Rxx <= 20 ohm threshold
-103,Tc,0.93,0.18,Rxx <= 20 ohm threshold
-103,Tc,0.931,0.2,Rxx <= 20 ohm threshold
-103,Tc,0.932,0.2,Rxx <= 20 ohm threshold
-103,Tc,0.933,0.2,Rxx <= 20 ohm threshold
-103,Tc,0.934,0.2,Rxx <= 20 ohm threshold
-103,Tc,0.935,0.22,Rxx <= 20 ohm threshold
-103,Tc,0.936,0.24,Rxx <= 20 ohm threshold
-103,Tc,0.937,0.24,Rxx <= 20 ohm threshold
-103,Tc,0.938,0.24,Rxx <= 20 ohm threshold
-103,Tc,0.939,0.24,Rxx <= 20 ohm threshold
-103,Tc,0.94,0.22,Rxx <= 20 ohm threshold
-103,Tc,0.941,0.24,Rxx <= 20 ohm threshold
-103,Tc,0.942,0.26,Rxx <= 20 ohm threshold
-103,Tc,0.943,0.26,Rxx <= 20 ohm threshold
-103,Tc,0.944,0.24,Rxx <= 20 ohm threshold
-103,Tc,0.945,0.24,Rxx <= 20 ohm threshold
-103,Tc,0.946,0.24,Rxx <= 20 ohm threshold
-103,Tc,0.947,0.22,Rxx <= 20 ohm threshold
-103,Tc,0.948,0.22,Rxx <= 20 ohm threshold
-103,Tc,0.949,0.22,Rxx <= 20 ohm threshold
-103,Tc,0.95,0.2,Rxx <= 20 ohm threshold
-103,Tc,0.951,0.16,Rxx <= 20 ohm threshold
-103,Tc,0.952,0.14,Rxx <= 20 ohm threshold
-103,Tc,0.953,0.12,Rxx <= 20 ohm threshold
-103,Tc,0.956,0.18,Rxx <= 20 ohm threshold
-103,Tc,0.957,0.18,Rxx <= 20 ohm threshold
-103,Tc,0.959,0.12,Rxx <= 20 ohm threshold
-103,Tc,0.96,0.14,Rxx <= 20 ohm threshold
-103,Tc,1.043,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.044,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.045,0.2,Rxx <= 20 ohm threshold
-103,Tc,1.046,0.2,Rxx <= 20 ohm threshold
-103,Tc,1.047,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.048,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.049,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.05,0.2,Rxx <= 20 ohm threshold
-103,Tc,1.051,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.052,0.2,Rxx <= 20 ohm threshold
-103,Tc,1.053,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.054,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.055,0.18,Rxx <= 20 ohm threshold
-103,Tc,1.056,0.14,Rxx <= 20 ohm threshold
-103,Tc,1.057,0.14,Rxx <= 20 ohm threshold
-103,Tc,1.058,0.14,Rxx <= 20 ohm threshold
-103,Tc,1.059,0.14,Rxx <= 20 ohm threshold
-103,Tc,1.06,0.1,Rxx <= 20 ohm threshold
-103,Tcoh,0.83,1.45,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,0.838,1.25,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,0.846,1.01,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,0.854,0.7,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,0.862,0.38,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,0.87,0.12,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,0.878,0.0,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,1.064,0.0,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,1.071,0.55,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,1.079,1.25,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,1.087,2.1,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,1.095,3.0,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,1.105,3.7,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,1.119,4.0,"quadratic low-T fit, continuity enforced / regularized"
-103,Tcoh,1.13,4.0,"quadratic low-T fit, continuity enforced / regularized"
-103,Tprime,0.882,0.0,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.89,0.95,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.898,1.27,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.905,1.48,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.913,1.59,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.921,1.59,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.929,1.48,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.937,1.27,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.944,0.95,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.952,0.53,"high-T linear fit deviation, continuity enforced / regularized"
-103,Tprime,0.96,0.0,"high-T linear fit deviation, continuity enforced / regularized"
