field_mV_nm,scale,nu,T_K,method
-96.2,TN,0.98,0.85,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,0.984,0.95,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,0.988,3.5,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,0.996,3.5,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,1.0,3.5,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,1.004,3.5,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,1.008,3.5,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,1.016,1.5,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,1.02,1.5,local minimum / insulating onset in smoothed log(Rxx)
-96.2,TN,1.024,2.0,local minimum / insulating onset in smoothed log(Rxx)
-96.2,Tcoh,0.83,1.35,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,0.838,1.16,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,0.846,0.94,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,0.854,0.65,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,0.862,0.35,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,0.87,0.11,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,0.878,0.0,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,1.034,0.0,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,1.041,0.55,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,1.049,1.25,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,1.057,2.1,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,1.065,3.0,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,1.075,3.7,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,1.089,4.0,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tcoh,1.13,4.0,"quadratic low-T fit, continuity enforced / regularized"
-96.2,Tprime,0.882,0.0,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.892,0.8,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.901,1.07,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.911,1.25,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.921,1.34,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.93,1.34,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.94,1.25,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.95,1.07,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.96,0.8,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.969,0.45,"high-T linear fit deviation, continuity enforced / regularized"
-96.2,Tprime,0.979,0.0,"high-T linear fit deviation, continuity enforced / regularized"
