E,phase_png,phase_svg,overlay_png,csv
87.0,output/Fig3e_style_reproduction_E-87.png,output/Fig3e_style_reproduction_E-87.svg,output/Fig3e_style_reproduction_E-87_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-87.csv
96.0,output/Fig3e_style_reproduction_E-96.png,output/Fig3e_style_reproduction_E-96.svg,output/Fig3e_style_reproduction_E-96_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-96.csv
99.0,output/Fig3e_style_reproduction_E-99.png,output/Fig3e_style_reproduction_E-99.svg,output/Fig3e_style_reproduction_E-99_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-99.csv
103.0,output/Fig3e_style_reproduction_E-103.png,output/Fig3e_style_reproduction_E-103.svg,output/Fig3e_style_reproduction_E-103_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-103.csv
74.0,output/Fig3e_style_reproduction_E-74.png,output/Fig3e_style_reproduction_E-74.svg,output/Fig3e_style_reproduction_E-74_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-74.csv
87.0,output/Fig3e_style_reproduction_E-87.png,output/Fig3e_style_reproduction_E-87.svg,output/Fig3e_style_reproduction_E-87_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-87.csv
96.2,output/Fig3e_style_reproduction_E-96.2.png,output/Fig3e_style_reproduction_E-96.2.svg,output/Fig3e_style_reproduction_E-96.2_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-96.2.csv
151.0,output/Fig3e_style_reproduction_E-151.png,output/Fig3e_style_reproduction_E-151.svg,output/Fig3e_style_reproduction_E-151_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-151.csv
176.0,output/Fig3e_style_reproduction_E-176.png,output/Fig3e_style_reproduction_E-176.svg,output/Fig3e_style_reproduction_E-176_diagnostic_overlay.png,output/Fig3e_style_extracted_temperature_scales_E-176.csv
combined,output/Fig3e_style_reproductions_ALL_E_combined.png,,output/Fig3e_style_reproductions_E-COMBINED_diagnostic_overlays.png,
